FIPS,STNAME,CTYNAME,POPESTIMATE2019
01,Alabama,Alabama,4903185
01001,Alabama,Autauga,55869
01003,Alabama,Baldwin,223234
01005,Alabama,Barbour,24686
01007,Alabama,Bibb,22394
01009,Alabama,Blount,57826
01011,Alabama,Bullock,10101
01013,Alabama,Butler,19448
01015,Alabama,Calhoun,113605
01017,Alabama,Chambers,33254
01019,Alabama,Cherokee,26196
01021,Alabama,Chilton,44428
01023,Alabama,Choctaw,12589
01025,Alabama,Clarke,23622
01027,Alabama,Clay,13235
01029,Alabama,Cleburne,14910
01031,Alabama,Coffee,52342
01033,Alabama,Colbert,55241
01035,Alabama,Conecuh,12067
01037,Alabama,Coosa,10663
01039,Alabama,Covington,37049
01041,Alabama,Crenshaw,13772
01043,Alabama,Cullman,83768
01045,Alabama,Dale,49172
01047,Alabama,Dallas,37196
01049,Alabama,DeKalb,71513
01051,Alabama,Elmore,81209
01053,Alabama,Escambia,36633
01055,Alabama,Etowah,102268
01057,Alabama,Fayette,16302
01059,Alabama,Franklin,31362
01061,Alabama,Geneva,26271
01063,Alabama,Greene,8111
01065,Alabama,Hale,14651
01067,Alabama,Henry,17205
01069,Alabama,Houston,105882
01071,Alabama,Jackson,51626
01073,Alabama,Jefferson,658573
01075,Alabama,Lamar,13805
01077,Alabama,Lauderdale,92729
01079,Alabama,Lawrence,32924
01081,Alabama,Lee,164542
01083,Alabama,Limestone,98915
01085,Alabama,Lowndes,9726
01087,Alabama,Macon,18068
01089,Alabama,Madison,372909
01091,Alabama,Marengo,18863
01093,Alabama,Marion,29709
01095,Alabama,Marshall,96774
01097,Alabama,Mobile,413210
01099,Alabama,Monroe,20733
01101,Alabama,Montgomery,226486
01103,Alabama,Morgan,119679
01105,Alabama,Perry,8923
01107,Alabama,Pickens,19930
01109,Alabama,Pike,33114
01111,Alabama,Randolph,22722
01113,Alabama,Russell,57961
01115,Alabama,St. Clair,89512
01117,Alabama,Shelby,217702
01119,Alabama,Sumter,12427
01121,Alabama,Talladega,79978
01123,Alabama,Tallapoosa,40367
01125,Alabama,Tuscaloosa,209355
01127,Alabama,Walker,63521
01129,Alabama,Washington,16326
01131,Alabama,Wilcox,10373
01133,Alabama,Winston,23629
02,Alaska,Alaska,731545
02013,Alaska,Aleutians East Borough,3337
02016,Alaska,Aleutians West Census Area,5634
02020,Alaska,Anchorage Municipality,288000
02050,Alaska,Bethel Census Area,18386
02060,Alaska,Bristol Bay Borough,836
02068,Alaska,Denali Borough,2097
02070,Alaska,Dillingham Census Area,4916
02090,Alaska,Fairbanks North Star Borough,96849
02100,Alaska,Haines Borough,2530
02105,Alaska,Hoonah-Angoon Census Area,2148
02110,Alaska,Juneau City and Borough,31974
02122,Alaska,Kenai Peninsula Borough,58708
02130,Alaska,Ketchikan Gateway Borough,13901
02150,Alaska,Kodiak Island Borough,12998
02158,Alaska,Kusilvak Census Area,8314
02164,Alaska,Lake and Peninsula Borough,1592
02170,Alaska,Matanuska-Susitna Borough,108317
02180,Alaska,Nome Census Area,10004
02185,Alaska,North Slope Borough,9832
02188,Alaska,Northwest Arctic Borough,7621
02195,Alaska,Petersburg Borough,3266
02198,Alaska,Prince of Wales-Hyder Census Area,6203
02220,Alaska,Sitka City and Borough,8493
02230,Alaska,Skagway Municipality,1183
02240,Alaska,Southeast Fairbanks Census Area,6893
02261,Alaska,Valdez-Cordova Census Area,9202
02275,Alaska,Wrangell City and Borough,2502
02282,Alaska,Yakutat City and Borough,579
02290,Alaska,Yukon-Koyukuk Census Area,5230
04,Arizona,Arizona,7278717
04001,Arizona,Apache,71887
04003,Arizona,Cochise,125922
04005,Arizona,Coconino,143476
04007,Arizona,Gila,54018
04009,Arizona,Graham,38837
04011,Arizona,Greenlee,9498
04012,Arizona,La Paz,21108
04013,Arizona,Maricopa,4485414
04015,Arizona,Mohave,212181
04017,Arizona,Navajo,110924
04019,Arizona,Pima,1047279
04021,Arizona,Pinal,462789
04023,Arizona,Santa Cruz,46498
04025,Arizona,Yavapai,235099
04027,Arizona,Yuma,213787
05,Arkansas,Arkansas,3017804
05001,Arkansas,Arkansas,17486
05003,Arkansas,Ashley,19657
05005,Arkansas,Baxter,41932
05007,Arkansas,Benton,279141
05009,Arkansas,Boone,37432
05011,Arkansas,Bradley,10763
05013,Arkansas,Calhoun,5189
05015,Arkansas,Carroll,28380
05017,Arkansas,Chicot,10118
05019,Arkansas,Clark,22320
05021,Arkansas,Clay,14551
05023,Arkansas,Cleburne,24919
05025,Arkansas,Cleveland,7956
05027,Arkansas,Columbia,23457
05029,Arkansas,Conway,20846
05031,Arkansas,Craighead,110332
05033,Arkansas,Crawford,63257
05035,Arkansas,Crittenden,47955
05037,Arkansas,Cross,16419
05039,Arkansas,Dallas,7009
05041,Arkansas,Desha,11361
05043,Arkansas,Drew,18219
05045,Arkansas,Faulkner,126007
05047,Arkansas,Franklin,17715
05049,Arkansas,Fulton,12477
05051,Arkansas,Garland,99386
05053,Arkansas,Grant,18265
05055,Arkansas,Greene,45325
05057,Arkansas,Hempstead,21532
05059,Arkansas,Hot Spring,33771
05061,Arkansas,Howard,13202
05063,Arkansas,Independence,37825
05065,Arkansas,Izard,13629
05067,Arkansas,Jackson,16719
05069,Arkansas,Jefferson,66824
